time_slot,price_yuan_per_mwh
0,215.30993980190385
1,331.35604630470414
2,280.20127897753713
3,-103.18369351665301
4,-35.69543445194157
5,-48.643139689940554
6,18.908545270718836
7,186.66720235019406
8,252.27803510255762
9,-22.81246240292979
10,-96.68501089464064
11,-93.18361345695905
12,-13.67378189660556
13,-77.52575730479046
14,-1.7965204727569868
15,-118.33782203581598
16,-112.14688455165789
17,-121.00958428056691
18,-51.01399484550423
19,-50.896153116725436
20,-59.276867990768125
21,-90.51905462289966
22,-51.17823093775966
23,-84.3717893311279
24,285.0520954862761
25,219.33205844848544
26,277.6290213432097
27,363.2079370323059
28,391.1362451395733
29,251.0564767337275
30,403.8890261148531
31,468.0890118995767
32,490.9615190606469
33,490.7654713240529
34,415.0144310901244
35,526.9539550070675
36,451.34252329673586
37,530.4774865363846
38,772.92049612342
39,460.7726368473878
40,835.4658601185034
41,802.9212216291049
42,1033.8249691575388
43,896.227336989439
44,905.7147739364208
45,1068.090134281343
46,1108.5696523166932
47,957.803734055697
48,1149.1760305569062
49,1033.7178222766634
50,1204.3416056368353
51,1245.7932774095098
52,1252.9508187980778
53,1294.6315078350344
54,1285.7806564336195
55,1373.5103541006154
56,1391.9950576925405
57,1407.1276828494258
58,1319.391507066659
59,1246.7712421777715
60,851.51677928726
61,977.5491315091045
62,1056.190201107551
63,994.2744224784857
64,985.9067553801026
65,991.2149749386159
66,1222.8844465443378
67,962.2555605749466
68,1105.5598718059605
69,1011.9258380555209
70,1144.458219512748
71,993.1111623745345
72,1716.9596951325216
73,1624.0639936145192
74,1585.189117400546
75,1679.2396009151287
76,1813.4698983332373
77,1689.0571881142719
78,1663.9774449097522
79,1913.414191553402
80,1635.5093092997438
81,1548.4624414311477
82,1529.306513875116
83,1407.182330499547
84,1135.3496837480038
85,898.7906251856737
86,1097.5444556588373
87,963.5257132226886
88,989.0382249835891
89,965.5097068173412
90,880.0622176545298
91,865.7502272449451
92,528.2471791931071
93,443.40097155598255
94,272.9507712578678
95,279.4923196564165
