t_day,time_label,price_type,price_cny_per_kwh,p_ev_ch_mw,energy_mwh,energy_cost_cny
72,18:00-18:15,wind_guided,0.9864,0.0,0.0,0.0
73,18:15-18:30,wind_guided,0.9736813482407205,0.0,0.0,0.0
74,18:30-18:45,wind_guided,0.9770613950394137,0.0,0.0,0.0
75,18:45-19:00,wind_guided,0.9799700014672112,0.0,0.0,0.0
76,19:00-19:15,wind_guided,0.9824771116409919,0.0,0.0,0.0
77,19:15-19:30,wind_guided,0.9820786151103635,0.0,0.0,0.0
78,19:30-19:45,wind_guided,0.9800105234645418,0.0,0.0,0.0
79,19:45-20:00,wind_guided,0.9774264515611929,0.0,0.0,0.0
80,20:00-20:15,wind_guided,0.9726579910439231,0.0,0.0,0.0
81,20:15-20:30,wind_guided,0.9673300124555894,0.0,0.0,0.0
82,20:30-20:45,wind_guided,0.9615119132808639,0.0,0.0,0.0
83,20:45-21:00,wind_guided,0.9570022934109738,0.0,0.0,0.0
84,21:00-21:15,wind_guided,0.6525370275528015,0.0,0.0,0.0
85,21:15-21:30,wind_guided,0.6487855033655945,0.0,0.0,0.0
86,21:30-21:45,wind_guided,0.6460077484154004,0.0,0.0,0.0
87,21:45-22:00,wind_guided,0.6432052332881516,0.0,0.0,0.0
88,22:00-22:15,wind_guided,0.6400742382281513,0.0,0.0,0.0
89,22:15-22:30,wind_guided,0.6366226413526327,0.0,0.0,0.0
90,22:30-22:45,wind_guided,0.6338584099747336,0.0,0.0,0.0
91,22:45-23:00,wind_guided,0.6297049904686097,0.0,0.0,0.0
92,23:00-23:15,wind_guided,0.3461582746651969,0.0,0.0,0.0
93,23:15-23:30,wind_guided,0.33951910410822317,0.0,0.0,0.0
94,23:30-23:45,wind_guided,0.3307326403167849,0.0,0.0,0.0
95,23:45-00:00,wind_guided,0.31948596907789495,0.0,0.0,0.0
