scenario,t,time_label,target_p_ev_ch_mw_raw,target_p_ev_dis_mw_raw,target_p_ev_ch_mw,target_p_ev_dis_mw,allocated_p_ev_ch_mw,allocated_p_ev_dis_mw,ch_error_mw,dis_error_mw,net_error_mw,dispatch_energy_mwh,allocated_energy_mwh,energy_error_vs_dispatch_mwh,unallocated_ch_mwh,unallocated_dis_mwh,offline_power_violation_count,power_violation_count,energy_min_violation_count,energy_max_violation_count,departure_vehicle_count,departure_shortfall_kwh,max_departure_shortfall_kwh,departure_surplus_kwh,raw_final_energy_mwh_after_clip,target_final_energy_mwh,final_repair_delta_mwh,added_charge_battery_mwh,reduced_charge_battery_mwh,added_discharge_battery_mwh
v2g,14,21:30-21:45,0.0,9.143632740515458e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214887429216,-9.475214806738261,8.069095436269436e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,15,21:45-22:00,0.0,6.26121775169052e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214889270752,-9.475214806738261,8.253249106360272e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,16,22:00-22:15,0.0,1.8437975645213046e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214889813046,-9.475214806738261,8.307478438496219e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,17,22:15-22:30,0.0,-1.0374941224571146e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4752148895079,-9.475214806738261,8.276963825437633e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,18,22:30-22:45,0.0,-1.7155978679122406e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214889003311,-9.475214806738261,8.226504988328998e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,19,22:45-23:00,0.0,-5.3080274005955195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214887442126,-9.475214806738261,8.070386492420312e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,20,23:00-23:15,0.0,-6.053895604182239e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214885661568,-9.475214806738261,7.892330700087768e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,21,23:15-23:30,0.0,-6.916685683199673e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214883627247,-9.475214806738261,7.688898584490289e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,22,23:30-23:45,0.0,-7.548969805443587e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214881406965,-9.475214806738261,7.46687032204818e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,23,23:45-00:00,0.0,-8.084323718286054e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.475214879029222,-9.475214806738261,7.22909607731026e-08,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
