t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_battery_energy_mwh,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
10,20:30-20:45,ordered,1.0,105.9864808044288,69.1882833638993,61.048485321113745,105.98648080446667,342.20973029390854,25.790269699875637,-8.999982945567808e-07,-6.215897587855813e-09,0.0,-6.215897587855813e-09,-3.141241120810824e-09,367.9999999937841,3482.4347876468833,5.4389103893738365e-08,3482.4347877012724
11,20:45-21:00,ordered,1.0,105.64267787712836,68.89032082690431,60.785577200236,105.64267787716527,340.9612537814339,29.038746231248844,-8.999982412660756e-07,1.2682753129529325e-08,0.0,1.2682753129529325e-08,-4.461560807858426e-10,370.00000001268273,3475.424224021266,-1.109740898833816e-07,3475.424223910292
12,21:00-21:15,ordered,1.0,105.78071908797142,69.00995654297562,60.89113812617963,105.78071908801131,341.46253284513796,33.537467149122534,-8.999982554769304e-07,-5.739519264837275e-09,0.0,-5.739519264837275e-09,-1.6658039245637635e-09,374.99999999426046,3478.238718505714,5.0220793567326165e-08,3478.238718555935
13,21:15-21:30,ordered,1.0,104.69643986673599,68.07024788455364,60.06198342757627,104.69643986676725,337.52511104563314,37.474888971100086,-8.999981844226568e-07,1.673323996007513e-08,0.0,1.673323996007513e-08,1.890009566952202e-09,375.0000000167332,3456.1436761882637,-1.464158496506574e-07,3456.143676041848
14,21:30-21:45,ordered,1.0,106.37200470274037,69.5224040757812,61.34329771394785,106.37200470278358,343.609711195253,40.390288795602665,-8.999982554769304e-07,-9.144425385416778e-09,0.0,-9.144425385416778e-09,-5.318082744886352e-11,383.99999999085566,3490.299411466091,8.001372212239682e-08,3490.2994115461047
15,21:45-22:00,ordered,1.0,105.56201154133186,68.82041000255427,60.723891178749106,105.56201154137132,340.66832426400657,43.3316757273678,-8.999981631063747e-07,-8.625699486533289e-09,0.0,-8.625699486533289e-09,-1.8861419683371872e-09,383.99999999137435,3473.779742538956,7.547487050716628e-08,3473.7797426144307
16,22:00-22:15,ordered,1.0,103.55556803216989,67.08149229460818,59.189552024680644,103.5555680322042,333.3821803836629,46.61781961410818,-8.999981915280841e-07,-2.228891470789357e-09,0.0,-2.228891470789357e-09,-2.3597814058799256e-09,379.9999999977711,3432.925371057345,1.9502800369406876e-08,3432.9253710768476
17,22:15-22:30,ordered,1.0,101.18108504433096,65.02360703847125,57.37377091632764,101.18108504435843,324.7595480434883,50.24045195769842,-8.999981631063747e-07,1.1867415218973587e-09,0.0,1.1867415218973587e-09,-2.1075988324767367e-09,375.0000000011867,3384.6999013215127,-1.0383988316601889e-08,3384.6999013111285
18,22:30-22:45,ordered,1.0,100.38215679113473,64.33120255241042,56.762825781559066,100.38215679117897,321.85834191628317,53.14165808225178,-8.999981773172294e-07,-1.4650534761972396e-09,0.0,-1.4650534761972396e-09,-2.41892269616865e-09,374.999999998535,3368.5036844649535,1.2819217916725847e-08,3368.503684477773
19,22:45-23:00,ordered,1.0,92.29727106662536,57.32430159110862,50.5802661098419,92.29727106663616,292.499109834212,57.500890165842655,-8.999981986335115e-07,5.466532648780787e-11,0.0,5.466532648780787e-11,-2.407306314289991e-09,350.0000000000547,3205.451078250809,-4.78321606768319e-10,3205.4510782503307
