t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_battery_energy_mwh,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
10,20:30-20:45,v2g,1.0,105.98648080133907,69.18828336457787,61.048485323157244,105.98648080349551,342.2097302925697,25.790269699776072,-8.998987297559324e-07,0.0,7.654198307147693e-09,-7.654198307147693e-09,-9.4752148796027,367.9999999923458,3482.434787639364,8.610973095541155e-08,3482.4347877254736
11,20:45-21:00,v2g,1.0,105.64267786920067,68.89032082331356,60.785577198531804,105.64267787129589,340.9612537623419,29.03874623114931,-8.998987084396504e-07,0.0,6.50876476355562e-09,-6.50876476355562e-09,-9.475214881517042,369.99999999349126,3475.4242239140804,7.322360359000073e-08,3475.424223987304
12,21:00-21:15,v2g,1.0,105.78071908476615,69.0099565438811,60.891138128345226,105.78071908703416,341.46253284402667,33.53746714902302,-8.998987439667872e-07,0.0,6.9503345784720324e-09,-6.9503345784720324e-09,-9.475214883561257,374.99999999304964,3478.238718499474,7.819126400781037e-08,3478.238718577665
13,21:15-21:30,v2g,1.0,104.69643985873331,68.07024788030728,60.06198342543997,104.69643986051157,337.52511102499216,37.47488897100045,-8.998985521202485e-07,0.0,4.007433203854407e-09,-4.007433203854407e-09,-9.475214884739914,374.99999999599254,3456.1436760725073,4.508362354336208e-08,3456.143676117591
14,21:30-21:45,v2g,1.0,106.37200469966449,69.52240407713741,61.343297716429454,106.37200470212191,343.60971119535327,40.39028879550314,-8.998987297559324e-07,0.0,9.143632740515458e-09,-9.143632740515458e-09,-9.475214887429217,383.99999999085645,3490.2994114666544,1.028658683307989e-07,3490.29941156952
15,21:45-22:00,v2g,1.0,105.56201153912599,68.82041000430796,60.72389118166855,105.56201154136801,340.6683242664705,43.33167572726833,-8.998986942287956e-07,0.0,6.26121775169052e-09,-6.26121775169052e-09,-9.475214889270752,383.9999999937388,3473.779742552788,7.043869970651835e-08,3473.7797426232264
16,22:00-22:15,v2g,1.0,103.55556802963386,67.08149229576398,59.1895520271636,103.5555680315863,333.3821803841477,46.617819614008475,-8.998984881714023e-07,0.0,1.8437975645213052e-09,-1.8437975645213052e-09,-9.475214889813046,379.9999999981562,3432.9253710600597,2.0742722600864685e-08,3432.9253710808025
17,22:15-22:30,v2g,1.0,101.18108504199174,65.02360703924616,57.37377091864799,101.18108504355315,324.75954804343905,50.240451957598424,-8.998981684271712e-07,0.0,-1.0374941224571148e-09,1.0374941224571148e-09,-9.4752148895079,375.0000000010375,3384.699901321238,-1.1671808877642541e-08,3384.699901309566
18,22:30-22:45,v2g,1.0,100.38215678836305,64.3312025551787,56.76282578514297,100.38215679087918,321.85834191956394,53.141658082151686,-8.998980831620429e-07,0.0,-1.7155978679122408e-09,1.7155978679122408e-09,-9.475214889003311,375.0000000017156,3368.5036844832603,-1.9300476014012708e-08,3368.50368446396
19,22:45-23:00,v2g,1.0,92.29727106638047,57.32430159271111,50.58026611348563,92.29727106698921,292.4991098395664,57.50089016574162,-8.998971665619138e-07,0.0,-5.3080274005955195e-09,5.3080274005955195e-09,-9.475214887442126,350.00000000530804,3205.4510782804055,-5.971530825669959e-08,3205.4510782206903
20,23:00-23:15,v2g,1.0,88.77323518995568,54.27013716876027,47.88541515100063,88.77323519136164,279.70202270107825,65.29797730497573,-8.998966904982808e-07,0.0,-6.053895604182239e-09,6.053895604182239e-09,-9.475214885661568,345.00000000605394,3134.862612503292,-6.810632554705018e-08,3134.862612435186
21,23:15-23:30,v2g,1.0,82.56996012967983,48.89396544993693,43.14173422347813,82.56996013078802,257.1756199338829,77.82438007303378,-8.998959515338356e-07,0.0,-6.916685683199673e-09,6.916685683199673e-09,-9.475214883627249,335.0000000069167,3011.319588922606,-7.781271393599632e-08,3011.319588844793
22,23:30-23:45,v2g,1.0,75.25102190031596,42.550885652933374,37.5448991103043,75.25102190169096,230.5978285652446,94.4021714423044,-8.998950278282791e-07,0.0,-7.548969805443587e-09,7.548969805443587e-09,-9.475214881406965,325.000000007549,2866.725289267484,-8.492591031124034e-08,2866.7252891825583
23,23:45-24:00,v2g,1.0,65.27695068505903,33.90669060146985,29.917668195878683,65.27695068558647,194.37826016799403,115.62173984009029,-8.998937914839189e-07,0.0,-8.084323718286054e-09,8.084323718286054e-09,-9.475214879029222,310.0000000080843,2671.711312815345,-9.094864183071811e-08,2671.7113127243965
24,0:00-0:15,v2g,1.0,56.92889411118726,26.67170824849645,25.00000000406215,56.928894111661634,165.52949647540748,134.47050353297288,-8.998926546155417e-07,0.0,-8.380405409089113e-09,8.380405409089113e-09,-9.475214876564397,300.0000000083804,2518.0705527655905,-9.427956085225252e-08,2518.070552671311
