scenario,total_cost_usd,thermal_energy_mwh,average_cost_usd_per_mwh
unordered,149963.19186947017,2888.916486460649,51.90983975213396
ordered,147335.44314868865,2771.941189383593,53.152441946812075
v2g,148412.60071736135,2763.67872736967,53.701104707859066
