scenario,scenario_label,ev_charge_mwh,ev_discharge_mwh,ev_net_mwh,thermal_energy_mwh,wind_used_mwh,wind_curtailed_mwh,total_cost_usd
unordered,Unordered,118.00000000000004,0.0,118.00000000000004,2888.916486460649,1366.0835135393513,137.22053953207256,149963.19186947017
ordered,Ordered,117.99999999999999,0.0,117.99999999999999,2771.941189383593,1483.0588106164068,20.245242455017134,147335.44314868865
v2g,V2G,129.1473115826563,8.053932618469178,121.09337896418712,2763.67872736967,1494.4146515945172,8.88940147690655,148412.60071736135
